id,trip_id,route_id,direction_id,lat,lon,current_stop_sequence,timestamp,stop_id
VE_A10912,0001_3_799,10009,0,35.66022872924805,139.339599609375,3,2024-12-30 19:30:01,381_1
VE_A21926,0001_3_2229,10009,1,35.65753936767578,139.3419189453125,21,2024-12-30 19:29:55,10_0
VE_C21530,0002_3_498,10014,1,35.72837829589844,139.28683471679688,1,2024-12-30 19:30:03,4000_2
VE_A11535,0001_3_847,10009,1,35.69863510131836,139.32125854492188,8,2024-12-30 19:30:33,1770_10
VE_A10912,0001_3_799,10009,0,35.66046524047852,139.33958435058594,4,2024-12-30 19:30:18,370_1
VE_A21926,0001_3_2229,10009,1,35.657344818115234,139.34242248535156,21,2024-12-30 19:30:09,10_0
VE_C21530,0002_3_498,10014,1,35.72837829589844,139.28683471679688,1,2024-12-30 19:31:03,4000_2
VE_A11535,0001_3_847,10009,1,35.6973762512207,139.32513427734375,10,2024-12-30 19:31:21,1750_10
VE_A10912,0001_3_799,10009,0,35.66275787353516,139.339599609375,4,2024-12-30 19:31:18,370_1
VE_A21926,0001_3_2229,10009,1,35.65620422363281,139.34458923339844,21,2024-12-30 19:31:09,10_0
VE_C21530,0002_3_498,10014,1,35.72837829589844,139.28683471679688,1,2024-12-30 19:32:03,4000_2
VE_A10905,0001_3_2230,10009,0,35.655426025390625,139.345947265625,1,2024-12-30 19:31:44,10_4
VE_A11535,0001_3_847,10009,1,35.695396423339844,139.3290252685547,11,2024-12-30 19:32:06,1740_10
VE_A10912,0001_3_799,10009,0,35.66631317138672,139.34085083007812,5,2024-12-30 19:32:35,360_2
VE_A21926,0001_3_2229,10009,1,35.65556716918945,139.34596252441406,21,2024-12-30 19:32:09,10_0
VE_C21530,0002_3_498,10014,1,35.728641510009766,139.28683471679688,2,2024-12-30 19:33:25,3340_10
VE_A10905,0001_3_2230,10009,0,35.655426025390625,139.345947265625,1,2024-12-30 19:32:44,10_4
VE_A11535,0001_3_847,10009,1,35.693641662597656,139.33189392089844,12,2024-12-30 19:33:07,930_10
VE_A10912,0001_3_799,10009,0,35.66779327392578,139.3411102294922,6,2024-12-30 19:33:38,927_1
VE_C21530,0002_3_498,10014,1,35.72868347167969,139.2892303466797,2,2024-12-30 19:34:25,3340_10
VE_A10905,0001_3_2230,10009,0,35.655426025390625,139.345947265625,1,2024-12-30 19:33:44,10_4
VE_A11535,0001_3_847,10009,1,35.691890716552734,139.33482360839844,13,2024-12-30 19:34:10,931_10
VE_A10912,0001_3_799,10009,0,35.66779327392578,139.3411102294922,6,2024-12-30 19:34:38,927_1
VE_C21530,0002_3_498,10014,1,35.72745513916016,139.28858947753906,3,2024-12-30 19:35:00,3350_10
VE_A10905,0001_3_2230,10009,0,35.655426025390625,139.345947265625,1,2024-12-30 19:34:44,10_4
VE_A11535,0001_3_847,10009,1,35.690269470214844,139.332763671875,13,2024-12-30 19:35:10,931_10
VE_A10912,0001_3_799,10009,0,35.66779327392578,139.3411102294922,6,2024-12-30 19:35:38,927_1
VE_C21530,0002_3_498,10014,1,35.7238655090332,139.28700256347656,3,2024-12-30 19:36:00,3350_10
VE_A10905,0001_3_2230,10009,0,35.655426025390625,139.345947265625,1,2024-12-30 19:36:44,10_4
VE_A11535,0001_3_847,10009,1,35.68909454345703,139.3346710205078,14,2024-12-30 19:36:44,929_10
VE_A10912,0001_3_799,10009,0,35.68308639526367,139.33905029296875,6,2024-12-30 19:36:33,927_1
VE_C21530,0002_3_498,10014,1,35.71967315673828,139.28610229492188,5,2024-12-30 19:37:34,1870_10
VE_A10905,0001_3_2230,10009,0,35.655426025390625,139.345947265625,1,2024-12-30 19:37:44,10_4
VE_A11535,0001_3_847,10009,1,35.687686920166016,139.3375244140625,15,2024-12-30 19:37:14,928_10
VE_A10912,0001_3_799,10009,0,35.68649673461914,139.33985900878906,7,2024-12-30 19:37:37,928_1
VE_C21530,0002_3_498,10014,1,35.71492385864258,139.284912109375,6,2024-12-30 19:38:45,8810_10
VE_A10905,0001_3_2230,10009,0,35.655426025390625,139.345947265625,1,2024-12-30 19:38:44,10_4
VE_A11535,0001_3_847,10009,1,35.685672760009766,139.34059143066406,16,2024-12-30 19:38:44,927_10
VE_A10912,0001_3_799,10009,0,35.68790817260742,139.33685302734375,9,2024-12-30 19:38:43,931_1
VE_C21530,0002_3_498,10014,1,35.714290618896484,139.2888946533203,6,2024-12-30 19:39:45,8810_10
VE_A10905,0001_3_2230,10009,0,35.655426025390625,139.345947265625,1,2024-12-30 19:39:45,10_4
VE_A11535,0001_3_847,10009,1,35.68306350708008,139.33921813964844,17,2024-12-30 19:39:40,360_10
VE_A10912,0001_3_799,10009,0,35.689422607421875,139.33377075195312,9,2024-12-30 19:39:36,931_1
VE_C21530,0002_3_498,10014,1,35.7120361328125,139.2916717529297,6,2024-12-30 19:40:45,8810_10
VE_A10905,0001_3_2230,10009,0,35.655426025390625,139.345947265625,1,2024-12-30 19:40:45,10_4
VE_A11535,0001_3_847,10009,1,35.68306350708008,139.33921813964844,17,2024-12-30 19:40:40,360_10
VE_A10912,0001_3_799,10009,0,35.690147399902344,139.33258056640625,10,2024-12-30 19:39:57,930_1
VE_C21530,0002_3_498,10014,1,35.71211624145508,139.29261779785156,7,2024-12-30 19:41:40,1860_10
VE_A10905,0001_3_2230,10009,0,35.655426025390625,139.345947265625,1,2024-12-30 19:40:58,10_4
VE_A11535,0001_3_847,10009,1,35.68306350708008,139.33921813964844,17,2024-12-30 19:41:40,360_10
VE_A10912,0001_3_799,10009,0,35.69231033325195,139.33387756347656,11,2024-12-30 19:41:21,1740_1
VE_C21530,0002_3_498,10014,1,35.71080780029297,139.2898406982422,7,2024-12-30 19:42:40,1860_10
VE_A10905,0001_3_2230,10009,0,35.657257080078125,139.3442840576172,1,2024-12-30 19:42:32,10_4
VE_A11535,0001_3_847,10009,1,35.66811752319336,139.34103393554688,17,2024-12-30 19:42:40,360_10
VE_A10912,0001_3_799,10009,0,35.695499420166016,139.3288116455078,13,2024-12-30 19:42:37,1760_1
